Fiscal year,Diagnosis category,Sex,Age group: 5–9 years – Rate,Age group: 5–9 years – 95% CI,Age group: 10–14 years – Rate,Age group: 10–14 years – 95% CI,Age group: 15–17 years – Rate,Age group: 15–17 years – 95% CI,Age group: 18–24 years – Rate,Age group: 18–24 years – 95% CI,Age group: 5–24 years – Rate,Age group: 5–24 years – 95% CI
2018–2019,Other disorders,Total,147,139–154,455,442–468,864,841–887,590,579–602,493,487–500
2018–2019,   Trauma- and stressor-related disorders,Female,34,29–40,405,387–422,926,892–960,607,591–624,469,460–479
2018–2019,   Trauma- and stressor-related disorders,Male,63,57–70,224,212–237,475,451–499,409,396–422,295,288–302
2018–2019,   Trauma- and stressor-related disorders,Total,49,45–53,312,301–323,695,675–716,504,494–515,379,374–385
2018–2019,"   Disruptive, impulse control and conduct disorders",Female,20,16–23,52,46–58,49,41–57,11,9–13,28,26–30
2018–2019,"   Disruptive, impulse control and conduct disorders",Male,58,52–65,71,64–78,73,64–83,14,12–16,46,43–48
2018–2019,"   Disruptive, impulse control and conduct disorders",Total,39,36–43,62,57–67,62,55–68,13,11–14,37,35–39
2018–2019,   Eating and feeding disorders,Female,2,1–3,25,21–30,54,46–62,19,16–22,21,19–23
2018–2019,   Eating and feeding disorders,Male,3,1–4,4,2–6,4,2–7,2,1–3,3,2–4
2018–2019,   Eating and feeding disorders,Total,2,2–3,14,12–17,29,24–33,10,9–12,12,11–13
2018–2019,   Tic disorders,Female,9,6–11,6,4–8,4,2–7,1,0–1,4,3–5
2018–2019,   Tic disorders,Male,21,17–25,9,7–12,2,1–4,1,1–2,8,7–9
2018–2019,   Tic disorders,Total,15,13–17,8,6–9,3,2–5,1,1–1,6,5–7
2018–2019,   ADHD,Female,9,7–12,18,15–22,18,14–23,6,4–7,11,10–13
2018–2019,   ADHD,Male,36,31–42,44,38–49,32,26–38,11,9–14,28,25–30
2018–2019,   ADHD,Total,23,20–26,31,28–35,25,22–29,9,7–10,20,18–21
2019–2020,Neurocognitive disorders,Female,6,4–8,19,15–22,42,35–50,29,26–33,23,21–25
2019–2020,Neurocognitive disorders,Male,6,4–8,15,12–19,27,21–32,20,17–22,16,15–18
2019–2020,Neurocognitive disorders,Total,6,4–7,17,15–19,34,30–39,24,22–26,20,18–21
2019–2020,Substance-related disorders,Female,1,0–2,80,73–88,472,448–496,699,681–717,357,349–365
2019–2020,Substance-related disorders,Male,2,1–3,65,58–72,527,502–552,810,791–828,410,401–418
2019–2020,Substance-related disorders,Total,2,1–2,72,67–77,500,483–517,757,744–770,384,379–390
2019–2020,Schizophrenic and psychotic disorders,Female,0,0–1,13,10–16,56,48–65,114,107–121,55,52–59
2019–2020,Schizophrenic and psychotic disorders,Male,1,0–1,9,6–11,77,68–87,272,262–283,121,116–125
2019–2020,Schizophrenic and psychotic disorders,Total,0,0–1,11,9–13,67,61–74,197,190–203,89,86–92
2019–2020,Mood disorders,Female,5,3–7,356,340–373,1023,"988–1,059",702,684–720,502,493–512
2019–2020,Mood disorders,Male,11,8–13,126,117–136,492,468–516,444,430–457,276,269–283
2019–2020,Mood disorders,Total,8,6–10,238,229–247,751,730–772,567,556–578,385,380–391
2019–2020,Anxiety disorders,Female,39,34–45,303,288–318,798,767–830,749,731–768,484,475–493
2019–2020,Anxiety disorders,Male,37,32–42,139,129–149,378,357–399,506,491–520,294,287–301
2019–2020,Anxiety disorders,Total,38,34–42,219,210–228,583,564–601,622,611–634,386,380–392
2019–2020,Personality disorders,Female,1,0–1,16,13–20,78,69–88,165,157–174,79,76–83
2019–2020,Personality disorders,Male,3,1–4,5,3–7,16,12–20,45,40–49,22,20–24
2019–2020,Personality disorders,Total,2,1–2,10,8–12,46,41–52,102,98–107,50,47–52
2019–2020,Other disorders,Female,83,75–91,525,505–545,1027,"991–1,062",686,669–704,555,545–565
2019–2020,Other disorders,Male,197,185–209,372,356–388,611,584–638,468,454–481,403,395–411
2019–2020,Other disorders,Total,142,134–149,447,434–459,814,791–836,572,561–583,476,470–483
2019–2020,   Trauma- and stressor-related disorders,Female,33,28–38,397,379–414,843,810–875,591,575–608,450,441–459
2019–2020,   Trauma- and stressor-related disorders,Male,58,51–64,222,210–234,463,440–487,395,382–407,286,279–293
2019–2020,   Trauma- and stressor-related disorders,Total,46,42–50,307,296–317,648,628–668,489,478–499,365,360–371
2019–2020,"   Disruptive, impulse control and conduct disorders",Female,21,17–25,53,46–59,42,35–49,8,6–10,26,24–29
2019–2020,"   Disruptive, impulse control and conduct disorders",Male,54,48–60,76,69–83,64,55–72,15,12–17,45,42–48
2019–2020,"   Disruptive, impulse control and conduct disorders",Total,38,34–42,65,60–70,53,48–59,11,10–13,36,34–38
2019–2020,   Eating and feeding disorders,Female,2,1–3,25,21–29,53,45–61,18,15–20,21,19–22
2019–2020,   Eating and feeding disorders,Male,2,1–3,4,2–6,6,3–8,2,1–2,3,2–3
2019–2020,   Eating and feeding disorders,Total,2,1–2,14,12–16,29,24–33,9,8–11,11,10–12
2019–2020,   Tic disorders,Female,8,5–10,7,5–9,9,5–12,1,0–2,5,4–6
2019–2020,   Tic disorders,Male,23,19–27,9,6–11,4,2–6,1,1–2,9,7–10
2019–2020,   Tic disorders,Total,16,13–18,8,6–10,6,4–8,1,1–2,7,6–8
2019–2020,   ADHD,Female,8,6–10,20,16–24,20,15–25,6,5–8,12,10–13
2019–2020,   ADHD,Male,39,34–44,45,40–51,36,30–43,11,9–13,29,27–31
2019–2020,   ADHD,Total,24,21–27,33,29–36,28,24–32,9,7–10,21,19–22
2020–2021,Neurocognitive disorders,Female,3,1–4,6,4–8,18,13–23,21,18–25,13,11–14
2020–2021,Neurocognitive disorders,Male,3,1–4,4,2–6,11,8–15,15,12–17,9,8–10
2020–2021,Neurocognitive disorders,Total,3,2–4,5,4–7,14,12–17,18,16–20,11,10–12
2020–2021,Substance-related disorders,Female,2,0–3,54,48–61,326,306–346,502,487–517,253,246–259
2020–2021,Substance-related disorders,Male,1,0–2,41,35–46,331,312–351,639,623–656,306,299–313
2020–2021,Substance-related disorders,Total,2,1–2,47,43–51,329,315–343,573,562–585,280,275–285
2020–2021,Schizophrenic and psychotic disorders,Female,1,0–2,17,14–21,61,52–70,133,125–141,64,61–67
2020–2021,Schizophrenic and psychotic disorders,Male,1,0–2,10,7–12,84,75–94,273,263–284,121,117–125
2020–2021,Schizophrenic and psychotic disorders,Total,1,0–2,13,11–15,73,66–80,206,199–213,93,91–96
2020–2021,Mood disorders,Female,5,3–7,355,338–371,797,766–828,546,530–562,409,400–417
2020–2021,Mood disorders,Male,7,4–9,88,81–96,326,307–346,340,328–352,201,195–207
2020–2021,Mood disorders,Total,6,4–7,217,209–226,555,537–573,439,429–449,301,296–306
2020–2021,Anxiety disorders,Female,41,36–47,310,295–325,679,650–708,656,638–673,432,423–441
2020–2021,Anxiety disorders,Male,32,27–37,101,93–110,315,296–334,442,428–455,248,242–255
2020–2021,Anxiety disorders,Total,37,33–40,203,194–211,492,475–509,544,533–555,337,332–342
2020–2021,Personality disorders,Female,1,0–1,18,15–22,66,57–75,143,135–152,69,66–73
2020–2021,Personality disorders,Male,2,1–3,5,3–7,14,10–18,40,36–44,19,17–21
2020–2021,Personality disorders,Total,1,1–2,12,10–14,39,35–44,90,85–94,43,41–45
2020–2021,Other disorders,Female,65,58–72,496,477–515,849,817–882,583,567–600,479,469–488
2020–2021,Other disorders,Male,132,122–141,251,238–264,432,410–455,405,392–418,309,302–316
2020–2021,Other disorders,Total,99,93–105,370,358–381,635,615–654,490,480–501,391,385–397
2020–2021,   Trauma- and stressor-related disorders,Female,24,20–28,333,318–349,616,589–644,497,482–512,364,356–372
2020–2021,   Trauma- and stressor-related disorders,Male,40,34–45,142,132–152,306,287–325,337,325–349,217,211–223
2020–2021,   Trauma- and stressor-related disorders,Total,32,29–35,235,226–244,457,440–473,414,404–423,288,283–293
2020–2021,"   Disruptive, impulse control and conduct disorders",Female,13,10–16,40,34–45,32,26–39,8,6–10,20,18–22
2020–2021,"   Disruptive, impulse control and conduct disorders",Male,30,25–34,51,45–57,43,36–50,13,11–15,30,28–32
2020–2021,"   Disruptive, impulse control and conduct disorders",Total,21,19–24,45,41–49,38,33–43,10,9–12,25,24–27
2020–2021,   Eating and feeding disorders,Female,2,1–3,57,51–63,107,95–118,21,18–24,37,35–40
2020–2021,   Eating and feeding disorders,Male,1,0–1,4,3–6,8,5–11,1,0–1,3,2–3
2020–2021,   Eating and feeding disorders,Total,1,1–2,30,27–33,56,50–62,11,9–12,19,18–21
2020–2021,   Tic disorders,Female,12,9–15,30,26–35,25,20–31,3,2–4,15,13–16
2020–2021,   Tic disorders,Male,24,20–28,10,7–12,4,2–6,1,0–2,9,8–10
2020–2021,   Tic disorders,Total,18,16–21,20,17–22,14,11–17,2,1–3,12,11–13
2020–2021,   ADHD,Female,6,4–8,20,16–24,21,16–26,5,3–6,11,10–12
2020–2021,   ADHD,Male,23,19–27,29,24–33,30,24–36,10,8–12,20,18–22
2020–2021,   ADHD,Total,15,12–17,24,22–27,25,21–29,8,6–9,16,15–17
2021–2022,Neurocognitive disorders,Female,3,1–4,9,7–12,19,14–23,25,21–28,15,13–16
2021–2022,Neurocognitive disorders,Male,5,3–7,8,6–11,11,8–15,16,13–18,11,9–12
2021–2022,Neurocognitive disorders,Total,4,3–5,9,7–11,15,12–18,20,18–22,13,12–14
2021–2022,Substance-related disorders,Female,2,1–3,80,72–88,363,342–384,622,605–639,306,298–313
2021–2022,Substance-related disorders,Male,2,1–3,45,39–51,316,296–335,655,638–672,305,298–312
2021–2022,Substance-related disorders,Total,2,1–3,62,57–67,338,324–353,639,627–651,305,300–311
2021–2022,Schizophrenic and psychotic disorders,Female,1,0–2,16,12–19,65,56–74,134,126–142,64,60–67
2021–2022,Schizophrenic and psychotic disorders,Male,1,0–1,9,7–12,87,77–97,265,254–276,116,111–120
2021–2022,Schizophrenic and psychotic disorders,Total,1,0–1,12,10–14,77,70–84,202,195–209,90,88–93
2021–2022,Mood disorders,Female,4,2–5,443,425–461,1035,"999–1,071",672,654–689,509,499–518
2021–2022,Mood disorders,Male,8,5–10,111,102–119,398,377–420,383,370–396,231,225–237
2021–2022,Mood disorders,Total,6,4–7,271,262–281,706,685–726,522,511–532,365,360–371
2021–2022,Anxiety disorders,Female,46,40–52,381,365–398,807,775–838,755,736–774,503,493–512
2021–2022,Anxiety disorders,Male,36,31–41,111,102–119,337,317–356,437,423–451,250,243–256
2021–2022,Anxiety disorders,Total,41,37–45,242,232–251,564,545–582,590,578–601,372,366–378
2021–2022,Personality disorders,Female,1,0–2,27,22–31,107,95–118,173,164–182,87,83–91
2021–2022,Personality disorders,Male,2,1–3,6,4–8,15,11–19,43,39–47,20,19–22
2021–2022,Personality disorders,Total,1,1–2,16,14–18,59,53–65,105,100–110,52,50–55
2021–2022,Other disorders,Female,72,65–79,618,597–639,1080,"1,043–1,116",671,653–689,574,564–584
2021–2022,Other disorders,Male,152,141–162,303,288–317,505,481–529,422,408–435,342,334–349
2021–2022,Other disorders,Total,113,107–119,455,443–468,783,761–804,542,531–553,454,448–460
2021–2022,   Trauma- and stressor-related disorders,Female,23,18–27,420,403–438,788,757–820,569,553–586,434,425–443
2021–2022,   Trauma- and stressor-related disorders,Male,41,35–46,172,161–183,374,353–395,340,328–352,234,228–240
2021–2022,   Trauma- and stressor-related disorders,Total,32,28–35,292,282–302,574,556–593,450,440–460,331,325–336
2021–2022,"   Disruptive, impulse control and conduct disorders",Female,14,11–17,45,39–51,41,33–48,8,6–10,23,21–25
2021–2022,"   Disruptive, impulse control and conduct disorders",Male,31,26–36,60,53–66,40,33–47,11,9–14,32,30–34
2021–2022,"   Disruptive, impulse control and conduct disorders",Total,23,20–26,53,48–57,40,35–45,10,8–11,28,26–29
2021–2022,   Eating and feeding disorders,Female,3,2–5,74,67–82,139,126–152,25,22–29,48,45–51
2021–2022,   Eating and feeding disorders,Male,2,1–4,6,4–8,11,7–14,2,1–2,4,3–5
2021–2022,   Eating and feeding disorders,Total,3,2–4,39,36–43,73,66–79,13,11–15,26,24–27
2021–2022,   Tic disorders,Female,11,8–13,26,22–31,26,21–32,2,1–3,13,12–15
2021–2022,   Tic disorders,Male,29,24–33,11,8–14,5,2–7,1,0–2,11,9–12
2021–2022,   Tic disorders,Total,20,17–23,18,16–21,15,12–18,1,1–2,12,11–13
2021–2022,   ADHD,Female,7,5–9,25,21–29,22,17–27,9,7–12,15,13–16
2021–2022,   ADHD,Male,27,23–31,39,34–44,28,23–34,11,9–14,24,22–26
2021–2022,   ADHD,Total,17,15–20,32,29–36,25,21–29,10,9–12,20,18–21
2022–2023,Neurocognitive disorders,Female,4,2–5,9,7–12,19,14–23,17,14–20,12,11–14
2022–2023,Neurocognitive disorders,Male,4,2–5,7,5–9,9,6–13,13,11–16,9,8–10
2022–2023,Neurocognitive disorders,Total,4,3–5,8,6–10,14,11–17,15,13–17,11,10–11
2022–2023,Substance-related disorders,Female,3,1–4,89,81–97,378,357–399,552,537–568,288,281–295
2022–2023,Substance-related disorders,Male,5,3–7,45,39–50,318,299–337,591,575–607,287,280–294
2022–2023,Substance-related disorders,Total,4,3–5,66,61–71,347,333–361,573,561–584,287,282–292
2022–2023,Schizophrenic and psychotic disorders,Female,1,0–2,11,8–14,60,52–69,124,116–131,59,56–62
2022–2023,Schizophrenic and psychotic disorders,Male,1,0–2,12,9–14,75,66–85,232,222–241,104,100–108
2022–2023,Schizophrenic and psychotic disorders,Total,1,1–2,11,9–13,68,62–74,180,174–186,82,80–85
2022–2023,Mood disorders,Female,4,2–5,355,339–371,832,800–863,562,546–578,420,411–428
2022–2023,Mood disorders,Male,7,5–9,95,87–103,352,332–372,346,334–358,209,203–215
2022–2023,Mood disorders,Total,5,4–7,221,212–229,584,566–602,449,440–459,311,306–316
2022–2023,Anxiety disorders,Female,37,31–42,317,302–332,698,669–727,620,604–637,422,413–430
2022–2023,Anxiety disorders,Male,28,24–33,112,103–121,289,271–307,368,356–380,218,212–223
2022–2023,Anxiety disorders,Total,32,29–36,211,203–220,487,470–503,489,479–499,316,311–321
2022–2023,Personality disorders,Female,1,0–2,24,20–28,86,76–96,150,141–158,76,72–79
2022–2023,Personality disorders,Male,2,1–3,6,4–8,16,12–20,39,35–43,19,17–21
2022–2023,Personality disorders,Total,1,1–2,15,12–17,50,45–55,92,87–96,46,44–48
2022–2023,Other disorders,Female,63,56–70,527,508–547,902,869–935,573,557–589,489,480–499
2022–2023,Other disorders,Male,141,132–151,292,278–306,454,431–477,358,346–370,306,299–313
2022–2023,Other disorders,Total,103,97–109,406,394–418,671,651–691,461,451–471,394,389–400
2022–2023,   Trauma- and stressor-related disorders,Female,18,14–21,372,355–388,688,660–717,480,466–495,375,367–383
2022–2023,   Trauma- and stressor-related disorders,Male,38,33–43,157,146–167,332,313–351,286,275–297,204,199–210
2022–2023,   Trauma- and stressor-related disorders,Total,28,25–31,261,251–270,504,487–521,379,370–388,287,282–292
2022–2023,"   Disruptive, impulse control and conduct disorders",Female,15,11–18,43,37–49,31,25–37,7,5–9,21,19–23
2022–2023,"   Disruptive, impulse control and conduct disorders",Male,30,25–34,54,48–60,39,32–46,10,8–13,29,27–31
2022–2023,"   Disruptive, impulse control and conduct disorders",Total,22,20–25,49,45–53,35,30–40,9,7–10,25,24–27
2022–2023,   Eating and feeding disorders,Female,4,2–6,52,46–58,78,68–88,19,16–22,32,30–34
2022–2023,   Eating and feeding disorders,Male,3,1–4,6,4–8,9,6–12,2,1–2,4,3–5
2022–2023,   Eating and feeding disorders,Total,3,2–4,28,25–32,42,37–47,10,9–11,17,16–19
2022–2023,   Tic disorders,Female,8,5–10,12,9–15,10,6–13,2,1–3,7,6–8
2022–2023,   Tic disorders,Male,22,18–26,10,7–13,2,1–4,1,0–1,8,7–9
2022–2023,   Tic disorders,Total,15,13–17,11,9–13,6,4–8,1,1–2,8,7–8
2022–2023,   ADHD,Female,7,5–9,22,18–26,20,15–25,8,6–10,13,11–14
2022–2023,   ADHD,Male,25,21–29,32,27–36,25,19–30,12,10–14,22,20–23
2022–2023,   ADHD,Total,16,14–19,27,24–30,23,19–26,10,9–12,17,16–19
2023–2024,Neurocognitive disorders,Female,4,2–6,9,7–12,20,15–25,16,13–18,12,11–14
2023–2024,Neurocognitive disorders,Male,4,2–6,8,6–10,18,13–22,11,9–13,10,8–11
2023–2024,Neurocognitive disorders,Total,4,3–5,9,7–10,19,16–22,13,11–15,11,10–12
2023–2024,Substance-related disorders,Female,3,1–4,94,85–102,392,371–414,520,506–535,282,275–289
2023–2024,Substance-related disorders,Male,3,1–4,52,46–58,339,320–358,522,508–537,270,263–276
2023–2024,Substance-related disorders,Total,3,2–4,72,67–77,365,350–379,521,511–532,276,271–280
2023–2024,Schizophrenic and psychotic disorders,Female,1,0–1,13,10–16,56,48–65,115,108–122,56,53–59
2023–2024,Schizophrenic and psychotic disorders,Male,1,0–2,9,7–11,84,74–93,203,194–212,96,92–99
2023–2024,Schizophrenic and psychotic disorders,Total,1,0–2,11,9–13,70,64–77,161,156–167,77,74–79
2023–2024,Mood disorders,Female,7,5–9,278,264–292,663,635–690,461,447–475,342,335–350
2023–2024,Mood disorders,Male,7,5–9,86,79–94,306,288–325,285,274–295,179,174–184
2023–2024,Mood disorders,Total,7,5–9,179,172–187,479,462–495,369,360–378,258,253–262
2023–2024,Anxiety disorders,Female,36,31–41,261,248–275,582,556–608,523,508–538,358,350–365
2023–2024,Anxiety disorders,Male,26,22–30,107,99–115,255,238–272,315,304–326,193,187–198
2023–2024,Anxiety disorders,Total,31,27–34,182,174–190,413,398–428,414,405–423,272,268–277
2023–2024,Personality disorders,Female,1,0–2,21,17–25,84,74–93,133,125–141,69,66–73
2023–2024,Personality disorders,Male,2,1–4,6,4–7,16,12–20,36,33–40,19,17–20
2023–2024,Personality disorders,Total,2,1–3,13,11–15,48,43–54,82,78–86,43,41–45
2023–2024,Other disorders,Female,68,61–75,440,422–458,824,793–855,490,475–504,428,420–437
2023–2024,Other disorders,Male,131,122–141,274,261–288,428,407–450,310,299–321,278,271–285
2023–2024,Other disorders,Total,100,94–106,355,344–366,619,601–638,396,387–405,350,345–356
2023–2024,   Trauma- and stressor-related disorders,Female,23,19–27,311,296–326,628,601–655,402,389–415,325,318–333
2023–2024,   Trauma- and stressor-related disorders,Male,33,29–38,152,142–162,298,280–316,242,232–251,182,177–187
2023–2024,   Trauma- and stressor-related disorders,Total,28,25–31,229,220–238,458,442–474,318,310–326,251,246–255
2023–2024,"   Disruptive, impulse control and conduct disorders",Female,14,11–17,42,36–47,33,26–39,4,3–6,19,18–21
2023–2024,"   Disruptive, impulse control and conduct disorders",Male,25,21–29,48,43–54,39,33–46,8,6–10,26,24–28
2023–2024,"   Disruptive, impulse control and conduct disorders",Total,20,17–22,45,41–49,36,31–40,6,5–7,23,21–24
2023–2024,   Eating and feeding disorders,Female,4,2–5,41,35–46,80,71–90,18,15–20,29,27–31
2023–2024,   Eating and feeding disorders,Male,2,1–3,4,3–6,8,5–11,2,1–3,3,3–4
2023–2024,   Eating and feeding disorders,Total,3,2–4,22,19–25,43,38–48,10,8–11,16,15–17
2023–2024,   Tic disorders,Female,9,6–11,8,6–10,8,5–11,3,2–4,6,5–7
2023–2024,   Tic disorders,Male,21,17–24,7,4–9,3,1–5,1,1–2,7,6–8
2023–2024,   Tic disorders,Total,15,13–17,7,6–9,6,4–8,2,1–3,7,6–7
2023–2024,   ADHD,Female,6,4–8,17,14–21,22,17–27,7,6–9,12,10–13
2023–2024,   ADHD,Male,22,18–26,31,26–36,31,26–37,10,8–12,21,19–23
2023–2024,   ADHD,Total,14,12–17,24,21–27,27,23–31,9,8–10,16,15–18
